"";"Overall"
"msp_0573";0,641925802142759
"msp_0574c";0,0785347289475522
"msp_0575";0
"msp_0576";0,103548644692711
"msp_0577";0,0199845272889363
"msp_0578";0,205078221906893
"msp_0579";0,0465248254345607
"msp_0580";0
"msp_0581";0,0902331686682276
"msp_0582";0
"msp_0583";0,536295369219472
"msp_0584";0,708913518643337
"msp_0585";0,160300906940695
"msp_0586";0
"msp_0587";0
"msp_0588";0
"msp_0589c";0,0262653787226021
"msp_0590";0
"msp_0591";0,843342177700755
"msp_0592";0,0343029433925038
"msp_0593";0
"msp_0594";0,264119934663056
"msp_0595";1,53833219134926
"msp_0596";3,03825690106362
"msp_0597";0,0951173976696739
"msp_0598";0,0520808892984401
"msp_0599";0
"msp_0600c";0,179144128712793
"msp_0601c";0
"msp_0602c";0,168335267253792
"msp_0603c";0
"msp_0604";0,378790769949366
"msp_0605";0,159839511947147
"msp_0606";0
"msp_0607";0
"msp_0608";0,0263970080078162
"msp_0609";0
"msp_0610";100
"msp_0611";0
"msp_0612";0,0406034840156166
"msp_0613";0,488663396165103
"msp_0614";0
"msp_0615";0,944856761579629
"msp_0616";0
"msp_0617";0,0263822142428202
"msp_0618";0
"msp_0619";0,258021694708656
"msp_0620";0,101678467271519
"msp_0621";1,38424925038894
"msp_0622";0,999531938641684
"msp_0623";0
"msp_0624";0
"msp_0625";0
"msp_0626";0,282667339269267
"msp_0627";0
"msp_0628";0,0199845272889363
"msp_0629";0,118278168908798
"msp_0630";0,151383624666495
"msp_0631";0,0519122439103166
"msp_0632";0
"msp_0633";0
"msp_0634";0,0213168291081987
"msp_0635";0,176972997814833
"msp_0636";0,153035003388394
"msp_0637";0
"msp_0638";1,90341464584351
"msp_0639";0,330179432173583
"msp_0640";0,0483752446279808
"msp_0641";0
"msp_0642";0,0766514515538202
"msp_0643";0
"msp_0644";0
"msp_0645";0,236991929840349
"msp_0646";0
"msp_0647";0,606665677822425
"msp_0648";0
"msp_0649";0
"msp_0650";0
"msp_0651";0
"msp_0652";0,145992991971566
"msp_0653";0,0259258732397011
"msp_0654";1,39248133953464
"msp_0655";0,0985153347127598
"msp_0656";0,311828492257334
"msp_0657";2,56820089354919
"msp_0658";0
"msp_0659";0
"msp_0660";0,0819382888086828
"msp_0662";0
"msp_0663";0,0912800238138341
"msp_0664";0
"msp_0665";0,119095645146673
"msp_0666";0,0515837422530057
"msp_0667";0
"msp_0668";0,0256211888319696
"msp_0669";0,286343538142523
"msp_0670";0,0236853656757764
"msp_0671";0,0199845272889363
"msp_0672";0
"msp_0673";0,0436026049940429
"msp_0674";0,0504054188287616
"msp_0675";0,295633799966951
"msp_0676";0,145880742015994
"msp_0677c";0
"msp_0678";0,0495604946062693
"msp_0679";0,137129993959942
"msp_0680c";0
"msp_0681";0,0244255333531444
"msp_0682";0,130137716654186
"msp_0683";0,0466305636741847
"msp_0684";0
"msp_0685";0,253894874736338
"msp_0686";0,0512423776639393
"msp_0687";0,219687631350138
"msp_0688";0
"msp_0689";0
"msp_0690";0
"msp_0691";0,154344609505303
"msp_0692";0
"msp_0693";0,0476823808999182
"msp_0694";0
"msp_0695";0,0466305636741847
"msp_0696";0,231725694649775
"msp_0697";0,365254843882311
"msp_0698";0,361128086106543
"msp_0699";0,516561763931607
"msp_0700";0
"msp_0701";0,0771533484267385
"msp_0702";0
"msp_0703";0,0258847210599556
"msp_0704";0,697751725999689
"msp_0705";0
"msp_0706";0,0213168291081987
"msp_0707";0
"msp_0708";0
"msp_0709";0,223409648305505
"msp_0710";0,0228394597587844
"msp_0711c";0
"msp_0712";0,274932981685976
"msp_0713";4,56233008858794
"msp_0714c";0
"msp_0715c";0
"msp_0716";0,0257864868244339
"msp_0717";0,0461864630677639
"msp_0718";0
"msp_0719";0,705560416891703
"msp_0720";0
"msp_0721";0,0199845272889363
"msp_0722";0,298621879357185
"msp_0723";0,261128783459588
"msp_0724";0,0496167574070143
"msp_0725";0
"msp_0726";0,223078503905315
"msp_0727";0
"msp_0728";0,262657895610922
"msp_0729";0,0654530833613584
"msp_0730";0
"msp_0732";0,160687573925442
"msp_0733";0,0676224411191487
"msp_0734";0
"msp_0735";0
"msp_0736c";0
"msp_0737";0,102269646452831
"msp_0738";0
"msp_0739c";0,0258413271849929
"msp_0740";0,0457117348333141
"msp_0741";0
"msp_0742";0,406091082059246
"msp_0743";0
"msp_0744";0,0679619093881624
"msp_0745";0,0492601067385185
"msp_0746";0
"msp_0747";0,454315170025426
"msp_0748";0,0678262744351778
"msp_0749";0,201791427993888
"msp_0750";0
"msp_0751";0,02566325819141
"msp_0752";0
"msp_0753";0
"msp_0754c";0
"msp_0755c";0
"msp_0756";0,408947923382191
"msp_0757";0,0380657662646406
"msp_0758";0,0259058687078804
"msp_0759";0,200708917761527
"msp_0760";0,205175903565792
"msp_0761";0,484964936077235
"msp_0762";0
"msp_0763";1,08059165622943
"msp_0764";0,0245963412786909
"msp_0765";0,0263768845025691
"msp_0766";0,569426745653496
"msp_0767";0
"msp_0768";0
"msp_0769";0,201086179573814
"msp_0770";0
"msp_0771";0,02604044464922
"msp_0772";0,251657326719501
"msp_0773";0,189582006365458
"msp_0774";0
"msp_0775";0,0487842846602105
"msp_0776";0,462791022787235
"msp_0777";0,554149696068179
"msp_0778";0
"msp_0779";0
"msp_0780";0,203260902880692
"msp_0781";0,0740356656349467
"msp_0782";0,025996133058779
"msp_0783";0
"msp_0784";0
"msp_0785";0,0516266954964189
"msp_0786";0
"msp_0787";0,0948174585288032
"msp_0788";0,317035546382012
"msp_0789";0
"msp_0790";0
"msp_0791";0,0177640242568323
"msp_0792";0,351444337875556
